ID,debateDate,debatePeriod,debateConference,debateSitting,debateVideoLink,debateSittingLink,fileLocalName,fileLocalPath,fileLocalSize,fileLocalExists,fileLocalDowDate,fileRemote,fileRemotePDF
1121,1479852000000,ΙΖ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),Β΄ Σύνοδος,ΛΑ,https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#dfcaeac7-4184-49d1-b8dc-a6c800a26f57,https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=99c4b148-a60e-46e1-b804-a6c7016df0a7,es20161123000357.docx,C:\\Users\johnp\Documents\ECE_NTUA\diploma\diploma_dataset_github\raw_text_data\all_files,152108,1,1670933825495,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/es20161123000357.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/es20161123ap.pdf
1122,1479679200000,ΙΖ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),Β΄ Σύνοδος,ΚΘ',https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#807e2a69-1c13-41ca-820b-a6c6009b4931,https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=25f9adeb-6b1f-4874-93e7-a6c5016e5121,es20161121000355.docx,C:\\Users\johnp\Documents\ECE_NTUA\diploma\diploma_dataset_github\raw_text_data\all_files,105662,1,1670933825490,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/es20161121000355.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/es20161121.pdf
1123,1479420000000,ΙΖ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),Β΄ Σύνοδος,ΚΗ',https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#37be7239-50a7-4023-99c0-a6c200cfbeab,https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=f03414a2-f9f0-406a-925c-a6c200cbc416,es20161118000354.docx,C:\\Users\johnp\Documents\ECE_NTUA\diploma\diploma_dataset_github\raw_text_data\all_files,56810,1,1670933825486,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/es20161118000354.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/es20161118_1.pdf
1124,1479333600000,ΙΖ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),Β΄ Σύνοδος,ΚΖ',https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#feddc05d-bbf8-40b5-8eba-a6c200a3a8ab,https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=2d3ca4c8-2541-44d5-9a16-a6c100f4f4fc,es20161117000352.docx,C:\\Users\johnp\Documents\ECE_NTUA\diploma\diploma_dataset_github\raw_text_data\all_files,99825,1,1670933825483,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/es20161117000352.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/es20161117.pdf
1125,1479247200000,ΙΖ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),Β΄ Σύνοδος,ΚΣΤ',https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#7b071f2f-784c-47db-b1da-a6c100af953d,https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=75fae053-938d-4a34-9c25-a6c0015beed0,es20161116000353.docx,C:\\Users\johnp\Documents\ECE_NTUA\diploma\diploma_dataset_github\raw_text_data\all_files,175611,1,1670933825480,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/es20161116000353.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/es20161116.pdf
1126,1479074400000,ΙΖ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),Β΄ Σύνοδος,ΚΕ',https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#376159d3-1b64-477f-9dbc-a6c000a338de,https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=cf27ad8d-e2ec-4392-9fc3-a6be015523b6,es20161114000350.docx,C:\\Users\johnp\Documents\ECE_NTUA\diploma\diploma_dataset_github\raw_text_data\all_files,56724,1,1670933825477,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/es20161114000350.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/es20161114.pdf
1127,1478815200000,ΙΖ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),Β΄ Σύνοδος,ΚΔ',https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#0d5f44a7-4055-4e89-a0ca-a6bb00f1b40d,https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=ca147dd6-adc4-4a9c-a28a-a6bb00cd7471,es20161111000349.docx,C:\\Users\johnp\Documents\ECE_NTUA\diploma\diploma_dataset_github\raw_text_data\all_files,50334,1,1670933825475,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/es20161111000349.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/es20161111.pdf
1128,1478728800000,ΙΖ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),Β΄ Σύνοδος,ΚΒ',https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#e7835f8d-f002-4e27-9dd1-a6ba00cb13ba,https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=3e75cc51-7c2e-452a-8508-a6ba00c41022,es20161110000347.docx,C:\\Users\johnp\Documents\ECE_NTUA\diploma\diploma_dataset_github\raw_text_data\all_files,48620,1,1670933825469,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/es20161110000347.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/es20161110pr.pdf
1129,1478728800000,ΙΖ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),Β΄ Σύνοδος,ΚΓ,https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#7197e71e-8bb5-413b-b6db-a6bb0093c61f,https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=04f6a91d-7a04-4586-a3e5-a6ba01717481,es20161110000348.docx,C:\\Users\johnp\Documents\ECE_NTUA\diploma\diploma_dataset_github\raw_text_data\all_files,106650,1,1670933825472,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/es20161110000348.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/es20161110ap.pdf
1130,1478469600000,ΙΖ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),Β΄ Σύνοδος,ΚΑ,https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#58d4cda1-9670-4aaa-8347-a6b800a2f2c5,https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=02725cd3-f503-4d09-8759-a6b70145f2ac,es20161107000346.docx,C:\\Users\johnp\Documents\ECE_NTUA\diploma\diploma_dataset_github\raw_text_data\all_files,41194,1,1670933825466,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/es20161107000346.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/es20161107.pdf
