debatePeriod,debateSitting,debateSittingLink,fileLocalName,fileRemote,debateDate,debateVideoLink,debateConference
ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),Ο',https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=336c8480-75d7-4a9e-bc86-afa401011528,20230209001547_1.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20230209001547_1.docx,09/02/2023,https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#b264327e-a1fb-4cc5-8856-afa400e7984b,Δ' Σύνοδος
ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),ΞΘ',https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=f38812ba-b72c-4b79-91f5-afa301876179,20230208001546_1.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20230208001546_1.docx,08/02/2023,https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#a068396e-864c-41be-83ed-afa400b60a48,Δ' Σύνοδος
ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),ΞΗ',https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=1a91fa03-1f9b-4e82-aba0-afa20160bd18,20230207001545_1.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20230207001545_1.docx,07/02/2023,https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#32862b7a-1da1-4335-87fc-afa300b7f344,Δ' Σύνοδος
ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),ΞΖ',https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=9293eb29-99b4-4999-b895-af9d01097e01,20230202001544_1.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20230202001544_1.docx,02/02/2023,https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#cdefdf8d-66d8-4951-8b4a-af9d00fc026e,Δ' Σύνοδος
ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),ΞΣΤ',https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=0484d4c0-18bb-45ab-92dd-af9c00faf904,20230201001543_1.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20230201001543_1.docx,01/02/2023,https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#725f2f5b-70bc-4408-8418-af9c00de8025,Δ' Σύνοδος
ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),ΞΕ',https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=907663d6-5492-4752-a140-af9b00f167a0,20230131001542_1.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20230131001542_1.docx,31/01/2023,https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#226a70cf-09f2-400e-afc6-af9b00e94caf,Δ' Σύνοδος
ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),ΞΔ',https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=5271fedd-8e03-4904-862f-af9a0132a66b,20230130001541_1.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20230130001541_1.docx,30/01/2023,https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#3fbc7459-ef83-4076-9e4c-af9a011c8046,Δ' Σύνοδος
ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),ΞΓ',https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=7b78c5ef-9d37-4dde-bd65-af970111b9fb,20230127001540_1.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20230127001540_1.docx,27/01/2023,https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#6c516312-ead5-4e32-9b53-af97010659cb,Δ' Σύνοδος
ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),ΞΒ',https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=c0cff2f6-741e-404d-9364-af9700519a7f,20230126001539_1.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20230126001539_1.docx,26/01/2023,https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#80a57e9c-4bf8-479a-b433-af9700bcd062,Δ' Σύνοδος
ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),ΞΑ',https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=2b5057b8-e73d-4660-a85b-af96004545e4,20230125001538_1.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20230125001538_1.docx,25/01/2023,https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#37f4fae9-4031-4636-8ed8-af9600b27cf4,Δ' Σύνοδος
ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),Ξ',https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=cf25fd4f-80f9-4369-99b8-af95012550b7,20230125001537_1.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20230125001537_1.docx,25/01/2023,https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#be36168f-380d-4de8-966b-af9600b018a5,Δ' Σύνοδος
ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),ΝΘ',https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=b5e46685-e4eb-4519-b524-af930161c8a7,20230123001536_1.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20230123001536_1.docx,23/01/2023,https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#9ad20eb6-2741-420c-b756-af9400abb7eb,Δ' Σύνοδος
ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),ΝΗ',https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=a7657e22-9760-40cd-a870-af9000dbfa9a,20230120001535_1.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20230120001535_1.docx,20/01/2023,https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#38717c92-00a6-40fb-a1e8-af9001037282,Δ' Σύνοδος
ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),ΝΖ',https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=ac101d49-eaba-4f36-86d6-af8f0121cf78,20230119001534_1.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20230119001534_1.docx,19/01/2023,https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#b3c614f7-43f3-4566-bcca-af8f01142d15,Δ' Σύνοδος
ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),ΝΣΤ',https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=b241b968-cbd0-4863-8ce1-af8d0174a239,20230117001533_1.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20230117001533_1.docx,17/01/2023,https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#7052170e-145d-44c1-b05e-af8e00ad8fa2,Δ' Σύνοδος
ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),ΝΕ',https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=e29d3ed6-59a3-4ec9-8d2c-af8c013b55ad,20230116001532.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20230116001532.docx,16/01/2023,https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#3d90ca71-f85b-41df-916c-af8d00acb25f,Δ' Σύνοδος
ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),ΝΔ',https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=19d114f2-6cfc-4fcd-86dd-af8900c72bfc,20230113001531_1.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20230113001531_1.docx,13/01/2023,https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#6a6575b3-967b-4d9b-a2ae-af8900cc37ac,Δ' Σύνοδος
ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),ΝΓ',https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=9a63768e-18c6-4b2a-911b-af8800eefeb7,20230112001530_1.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20230112001530_1.docx,12/01/2023,https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#30d81a81-6888-49bf-b9c6-af8800f2d566,Δ' Σύνοδος
ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),ΝΒ',https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=5cf680e3-681b-40b5-ad7f-af8700e84d98,20230111001529_1.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20230111001529_1.docx,11/01/2023,https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#452de411-5b11-4a6c-a22f-af8700d55da0,Δ' Σύνοδος
ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),ΝΑ',https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=38e5e09e-cda5-4b9f-aac7-af7300093e64,20221221001528_1.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20221221001528_1.docx,21/12/2022,https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#5e0a7705-ad6d-4740-9ec3-af7300b3c316,Δ' Σύνοδος
ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),Ν',https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=8e9d16c0-3d70-4e48-8d5b-af720008d940,20221220001527_1.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20221220001527_1.docx,20/12/2022,https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#d4ed3055-34ef-4f59-add2-af7200b0a585,Δ' Σύνοδος
ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),ΜΘ',https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=88ab93e4-c999-4909-bfa3-af70013fc329,20221219001526.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20221219001526.docx,19/12/2022,https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#9483ae63-78c9-4be3-bd2f-af7100b2cf68,Δ' Σύνοδος
ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),ΜΗ',https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=a0d02e3d-645f-4781-b405-af6e0177b115,20221217001525_1.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20221217001525_1.docx,17/12/2022,https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#90e53016-55ed-4865-8b6e-af6f00121d1d,Δ' Σύνοδος
ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),ΜΖ',https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=ddb054cd-fcf9-4c28-a740-af6e00074ee1,20221216001524_1.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20221216001524_1.docx,16/12/2022,https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#4db73464-9d1e-4767-a47c-af6e00b6a042,Δ' Σύνοδος
ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),ΜΣΤ',https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=dec4185d-2706-4aba-9363-af6d00079de5,20221215001523_1.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20221215001523_1.docx,15/12/2022,https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#98ff0f05-f450-4d12-9aa3-af6d00beac46,Δ' Σύνοδος
ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),ΜΕ',https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=6ee631e9-5ba0-47f1-89af-af6b01881a64,20221214001522_1.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20221214001522_1.docx,14/12/2022,https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#4abf8403-d491-41db-9a81-af6c00b5998d,Δ' Σύνοδος
ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),ΜΔ',https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=b063754c-880b-4fbe-a577-af6b000dfc5d,20221213001521_1.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20221213001521_1.docx,13/12/2022,https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#9e1b9369-d3b5-45a4-ba2a-af6b00b59c8b,Δ' Σύνοδος
ΙΗ΄ ΠΕΡΙΟΔΟΣ (ΠΡΟΕΔΡΕΥΟΜΕΝΗΣ ΚΟΙΝΟΒΟΥΛΕΥΤΙΚΗΣ ΔΗΜΟΚΡΑΤΙΑΣ),ΜΓ',https://www.hellenicparliament.gr/Praktika/Synedriaseis-Olomeleias?sessionRecord=13855c09-42ee-417e-aa7b-af6901850622,20221212001520_1.docx,https://www.hellenicparliament.gr/UserFiles/a08fc2dd-61a9-4a83-b09a-09f4c564609d/20221212001520_1.docx,12/12/2022,https://www.hellenicparliament.gr/Vouli-ton-Ellinon/ToKtirio/Fotografiko-Archeio/#8f6178b4-a591-4dcf-9155-af6a00aaaa27,Δ' Σύνοδος
